,HotelClass,AvgRating,PriceRangeLow,PriceRangeHigh,BBInnBinary,NumberRooms,LanguagesSpoken,TotalPhotos,DiningPhotos,PoolBeachPhotos,RoomSuitePhotos,TravelerPhotos,VideosPhotos,ReviewCount,ExcellentReviewCount,VeryGoodReviewCount,AverageReviewCount,PoorReviewCount,TerribleReviewCount,QACount,RoomTipCount,LocationRating,CleanlinessRating,ServiceRating,ValueRating,WalkerScore,RestaurantScore,AttractionsScore,DescriptionLengthWords,DescriptionSustainable,DescriptionRenewables,HotelStyleGreen,HotelStyleBusiness,HotelStyleModern,HotelStyleLuxury,CityViewRoomType,NonSmokingRoomType,SuitesRoomType,FamilyRoomType,OceanViewRoomType,PoolViewRoomType,BridalRoomType,AmenitiesSectionLength,AmenitiesBicycleRent,AmenitiesHighSpeedWiFi,AmenitiesRestaurant,AmenitiesPaidParking,AmenitiesFreeParking,AmenitiesFitness,AmenitiesBar,AmenitiesChildren,AmenitiesPets,AmenitiesSauna,AmenitiesHotTub,AmenitiesPool,AmenitiesCoffeeShop,AmenitiesSpecialDiet,AmenitiesBreakfast,AmenitiesBreakfastRoom,AmenitiesTaxi,AmenitiesAirport,AmenitiesBusiness,AmenitiesConference,AmenitiesBanquet,AmenitiesMeetingRooms,AmenitiesTerrace,AmenitiesBaggage,AmenitiesConcierge,AmenitiesCurrencyEx,AmenitiesNonSmoking,Amenities24Hours,AmenitiesSpecialCheck,AmenitiesDryCleaning,AmenitiesLaundry,AmenitiesFacialTreat,AmenitiesSpa,AmenitiesMassage,RoomFeatSectionLength,RoomFeatAllergyFree,RoomFeatFlatsceenTV,RoomFeatWalkInShower,RoomFeatHousekeeping,RoomFeatCoffeeTea,RoomFeatSoundproof,RoomFeatSafe,RoomFeatLaptopSafe,RoomFeatBalcony,RoomFeatRefrigerator,RoomFeatToiletries,RoomFeatHairdryer,RoomFeatFireplace,RoomFeatAirCon,RoomFeatMinibar,RoomFeatMicrowave,RoomFeatVIP,RoomFeatService,RoomFeatWakeUp,SpecialtBinary,GreenLeaderBinary,TravelersChoiceBinary,Percentile,EnglishReviewProportion,LocalReviewProportion
30457,3.0,3.5,30.0,36.0,1,47.0,2,11,0.0,0.0,8.0,11.0,0.0,29,4,7,13,4,1,0,1,45.0,35.0,40.0,40.0,76.0,50.0,17.0,207.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.3103448275862069,0.6206896551724138
30469,1.0,2.5,14.0,25.0,0,32.0,2,6,0.0,0.0,0.0,0.0,0.0,15,0,3,6,2,4,0,0,35.0,30.0,35.0,35.0,86.0,79.0,19.0,173.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,0,120,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.1333333333333333,0.0,0.6
30475,2.5,4.5,22.0,32.0,1,12.0,1,60,0.0,0.0,48.0,3.0,0.0,41,24,12,3,0,2,0,1,50.0,45.0,45.0,45.0,85.0,15.0,4.0,152.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8586956521739131,0.1707317073170731,0.7073170731707317
30478,4.0,4.5,72.0,93.0,0,10.0,3,99,12.0,0.0,20.0,47.0,0.0,55,38,16,0,0,1,2,2,45.0,50.0,45.0,45.0,90.0,45.0,9.0,61.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7333333333333334,0.2909090909090909,0.4545454545454545
30484,5.0,4.5,95.0,225.0,0,189.0,3,668,0.0,0.0,179.0,535.0,2.0,935,606,221,66,20,22,8,100,50.0,45.0,45.0,40.0,100.0,115.0,34.0,33.0,0.0,0.0,0,0,0,0,0,1,1,1,1,0,0,560,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,95,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0.875,0.5058823529411764,0.2631016042780749
30493,3.0,4.0,37.0,49.0,1,27.0,3,48,11.0,0.0,27.0,20.0,0.0,30,12,12,3,0,3,1,1,50.0,45.0,45.0,50.0,83.0,34.0,6.0,169.0,0.0,0.0,0,0,0,0,0,1,1,1,0,0,1,578,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,160,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0.8333333333333334,0.2333333333333333,0.5333333333333333
30513,3.0,4.5,45.0,91.0,0,300.0,3,1163,99.0,0.0,467.0,1139.0,0.0,2713,1261,1076,268,71,37,63,100,45.0,45.0,40.0,45.0,100.0,64.0,16.0,201.0,0.0,0.0,0,0,1,0,0,1,1,1,0,0,0,412,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,57,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.8116883116883117,0.4279395503133063,0.1629192775525249
30518,3.0,4.5,33.0,43.0,0,64.0,2,77,13.0,0.0,25.0,32.0,0.0,141,79,44,14,2,2,3,4,40.0,45.0,45.0,45.0,64.0,18.0,5.0,16.0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,1,591,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,165,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0.8,0.2340425531914893,0.6028368794326241
30522,3.0,4.0,43.0,72.0,1,11.0,3,38,1.0,0.0,10.0,29.0,0.0,133,49,60,19,2,3,1,24,50.0,45.0,40.0,45.0,100.0,335.0,169.0,176.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,177,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,81,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.8895348837209303,0.556390977443609,0.0
30525,3.0,4.0,36.0,112.0,0,36.0,2,84,6.0,0.0,26.0,59.0,0.0,78,32,33,5,3,5,0,10,45.0,40.0,40.0,40.0,78.0,10.0,7.0,116.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,187,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,71,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.6666666666666667,0.4487179487179487,0.4358974358974359
