Pipeline,Classifier,Recall,F2,ROC AUC
Box_Cox_PCA4_None,QDA,0.022,0.027,0.807
MinMax_PCA4_None,QDA,0.094,0.107,0.784
Standardize_PCA4_None,QDA,0.155,0.162,0.788
Robust_Scaler_PCA4_None,QDA,0.163,0.159,0.769
None_PCA4_Rand_Over,QDA,0.445,0.32,0.814
Yeo_Johnson_PCA4_Rand_Over,QDA,0.753,0.301,0.804
Box_Cox_PCA4_Rand_Over,QDA,0.739,0.311,0.807
MinMax_PCA4_Rand_Over,QDA,0.762,0.276,0.785
Standardize_PCA4_Rand_Over,QDA,0.614,0.311,0.788
Robust_Scaler_PCA4_Rand_Over,QDA,0.3,0.243,0.768
None_PCA4_Rand_Under,QDA,0.447,0.321,0.814
Yeo_Johnson_PCA4_Rand_Under,QDA,0.757,0.302,0.804
Box_Cox_PCA4_Rand_Under,QDA,0.742,0.311,0.807
MinMax_PCA4_Rand_Under,QDA,0.756,0.275,0.785
Standardize_PCA4_Rand_Under,QDA,0.611,0.309,0.788
Robust_Scaler_PCA4_Rand_Under,QDA,0.303,0.242,0.77
None_PCA4_SMOTE,QDA,0.458,0.332,0.816
Yeo_Johnson_PCA4_SMOTE,QDA,0.75,0.3,0.804
Box_Cox_PCA4_SMOTE,QDA,0.735,0.31,0.807
MinMax_PCA4_SMOTE,QDA,0.765,0.277,0.784
Standardize_PCA4_SMOTE,QDA,0.622,0.311,0.79
Robust_Scaler_PCA4_SMOTE,QDA,0.309,0.247,0.776
None_PCA4_SMOTE_Under,QDA,0.457,0.331,0.816
Yeo_Johnson_PCA4_SMOTE_Under,QDA,0.751,0.3,0.804
Box_Cox_PCA4_SMOTE_Under,QDA,0.734,0.31,0.807
MinMax_PCA4_SMOTE_Under,QDA,0.762,0.275,0.784
Standardize_PCA4_SMOTE_Under,QDA,0.624,0.312,0.79
Robust_Scaler_PCA4_SMOTE_Under,QDA,0.308,0.246,0.776
None_PCA8_None,QDA,0.28,0.249,0.809
Yeo_Johnson_PCA8_None,QDA,0.286,0.263,0.828
Box_Cox_PCA8_None,QDA,0.301,0.274,0.831
MinMax_PCA8_None,QDA,0.171,0.175,0.801
Standardize_PCA8_None,QDA,0.311,0.273,0.813
Robust_Scaler_PCA8_None,QDA,0.215,0.198,0.774
None_PCA8_Rand_Over,QDA,0.459,0.315,0.809
Yeo_Johnson_PCA8_Rand_Over,QDA,0.814,0.311,0.828
Box_Cox_PCA8_Rand_Over,QDA,0.805,0.321,0.831
MinMax_PCA8_Rand_Over,QDA,0.823,0.275,0.8
Standardize_PCA8_Rand_Over,QDA,0.703,0.335,0.813
Robust_Scaler_PCA8_Rand_Over,QDA,0.338,0.261,0.774
None_PCA8_Rand_Under,QDA,0.47,0.314,0.805
Yeo_Johnson_PCA8_Rand_Under,QDA,0.819,0.312,0.828
Box_Cox_PCA8_Rand_Under,QDA,0.807,0.319,0.83
MinMax_PCA8_Rand_Under,QDA,0.822,0.275,0.799
Standardize_PCA8_Rand_Under,QDA,0.7,0.332,0.81
Robust_Scaler_PCA8_Rand_Under,QDA,0.342,0.258,0.769
None_PCA8_SMOTE,QDA,0.506,0.337,0.8
Yeo_Johnson_PCA8_SMOTE,QDA,0.804,0.313,0.829
Box_Cox_PCA8_SMOTE,QDA,0.797,0.324,0.832
MinMax_PCA8_SMOTE,QDA,0.809,0.277,0.801
Standardize_PCA8_SMOTE,QDA,0.713,0.332,0.814
Robust_Scaler_PCA8_SMOTE,QDA,0.354,0.274,0.77
None_PCA8_SMOTE_Under,QDA,0.501,0.335,0.8
Yeo_Johnson_PCA8_SMOTE_Under,QDA,0.806,0.313,0.829
Box_Cox_PCA8_SMOTE_Under,QDA,0.797,0.324,0.832
MinMax_PCA8_SMOTE_Under,QDA,0.81,0.277,0.801
Standardize_PCA8_SMOTE_Under,QDA,0.712,0.331,0.814
Robust_Scaler_PCA8_SMOTE_Under,QDA,0.353,0.273,0.77
None_None_None,Random Forest,0.066,0.08,0.877
Yeo_Johnson_None_None,Random Forest,0.065,0.079,0.877
Box_Cox_None_None,Random Forest,0.063,0.077,0.876
MinMax_None_None,Random Forest,0.061,0.074,0.877
Standardize_None_None,Random Forest,0.062,0.076,0.879
Robust_Scaler_None_None,Random Forest,0.061,0.074,0.876
None_Rand_Over_None,Random Forest,0.15,0.176,0.88
